,SMILES,Genotoxicity(0.5기준)
0,[O-][N+](=O)C1=CC=C(Cl)C=C1,1
1,COC1=CC=C(C=C1)C(C)=O,0
2,N[C@@H](CCCCNC(=O)C(F)(F)F)C(O)=O,0
3,COC1=CC=C(C=C1)C(O)=O,0
4,CN(C)C1=CC=C(C=O)C=C1,0
5,CCCCOC(=O)NC(=S)SCCCC,0
6,CCCCC(O)C(N)CC,0
7,CNC1=CC=C(C=C1)[N+]([O-])=O,1
8,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,0
9,CC(C)C1=CC=C(C=C1)C(C)C,0
10,ClC(=O)C1=CC=C(C=C1)C(Cl)=O,0
11,CCCCCCCC(OC)OC,0
12,[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
13,CC1=C(CCOP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N,0
14,Cl[Nd](Cl)Cl,0
15,[O-][N+]#N,0
16,ClSSCl,0
17,O.O.O.O.O.O.[Cl-].[Cl-].[Sr++],0
18,Cl[Cr](Cl)Cl,0
19,Cl[SiH](Cl)Cl,0
20,Cl[In](Cl)Cl,0
21,ClP(Cl)(Cl)=O,0
22,Cl[Sb](Cl)Cl,0
23,[K+].[K+].Cl[Pt--](Cl)(Cl)Cl,1
24,Cl[Si](Cl)(Cl)Cl,0
25,Cl[Nb](Cl)(Cl)(Cl)Cl,0
26,O.O.O.O.O.O.[Co++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,1
27,O.O.O.O.O.O.O.[Co++].[O-]S([O-])(=O)=O,1
28,CCOCCOCCOC,0
29,[O-][O+]=O,1
30,[F-].[F-].[Ni++],1
31,NC1CCCC1,0
32,CCCC1CO1,1
33,CC1=C(OC=N1)C#N,0
34,CCN(CC)CCN,0
35,CCN(CC)CCO,0
36,FC(F)CNCC1=CC=C(Cl)N=C1,0
37,CCCCCCCC[Sn](CCCCCCCC)(OC(=O)C=CC(=O)OCC(CC)CCCC)OC(=O)C=CC(=O)OCC(CC)CCCC,0
38,[NH3+]O.[NH3+]O.[O-]S([O-])(=O)=O,0
39,OCC(O)CO.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO)C=O,0
40,C=CC1CCC=CC1,0
41,CCC1=CC=CC=C1,0
42,CC1=CC(=C(NCCO)C=C1)[N+]([O-])=O,0
43,C=CC1=CC=CC=C1,0
44,CCCCCC(CO)CCC,0
45,[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,0
